V9001;descricao.produto;cnae;pas;tru.cod;tru.desc;discrepancias;produto.intermediacao;produto.intermediacao.internacional;produto.intermediacao.49002;produto.intermediacao.50001;produto.intermediacao.51001;produto.intermediacao.55001;produto.intermediacao.56001;produto.intermediacao.90801;POF2009
4199901;AGREGADO;;;-1;-1;;;;;;;;;;Telecomunicações, TV por assinatura e outros serv. relacionados
4105901;TAXA ALFANDEGARIA;;;;;;;;;;;;;;#N/D
4101501;COMBUSTIVEL DE VEICULO;;;19912;Gasoálcool;;;;;;;;;;Gasoálcool
4101801;EXCURSAO (EXCETO ESCOLAR);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;;;;;;;;;Outros serviços administrativos
4102701;PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM, ALIMENTACAO E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;1;1;1;1;1;1;#N/D
4102801;PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM E ALIMENTACAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;1;1;1;1;1;;#N/D
4102901;PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;1;1;1;1;;1;#N/D
4103001;PACOTE TURISTICO NACIONAL (TRANSPORTE E HOSPEDAGEM);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;1;1;1;1;;;#N/D
4103101;PACOTE TURISTICO NACIONAL (HOSPEDAGEM, ALIMENTACAO E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;;;;1;1;1;#N/D
4103201;PACOTE TURISTICO NACIONAL (HOSPEDAGEM E ALIMENTACAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;;;;1;1;;#N/D
4103301;PACOTE TURISTICO NACIONAL (HOSPEDAGEM E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;;;;1;;1;#N/D
4103401;PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM, ALIMENTACAO E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4103501;PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM E ALIMENTACAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4103601;PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4103701;PACOTE TURISTICO INTERNACIONAL (TRANSPORTE E HOSPEDAGEM);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4103801;PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM, ALIMENTACAO E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4103901;PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM E ALIMENTACAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4104001;PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM E DIVERSAO);79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4104101;PACOTE TURISTICO NACIONAL;79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;;1;1;1;1;1;1;#N/D
4104201;PACOTE TURISTICO INTERNACIONAL;79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;1;1;;;;;;;#N/D
4104301;DESPESAS OPCIONAIS COM AGENCIAS DE VIAGEM;79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;;;;;;;;;Outros serviços administrativos
4106201;GUIA TURISTICO;79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;;;;;;;;;Outros serviços administrativos
4106701;PASSEIO TURISTICO;79;Agências de viagens, operadores turísticos e outros serviços de turismo;78802;Outros serviços administrativos;1;;;;;;;;;#N/D
4101401;ALUGUEL DE VEICULO SEM CONDUTOR;77;Aluguéis não imobiliários e gestão de ativos intangíveis não financeiros;77001;Aluguéis não-imob. e gestão de ativos de propriedade intelectual;;;;;;;;;;Aluguéis não-imob. e gestão de ativos de propriedade intelectual
4101601;PEDAGIO;52;Armazenamento e atividades auxiliares aos transportes;52801;Armazenamento e serviços auxiliares aos transportes;;;;;;;;;;Armazenamento e serviços auxiliares aos transportes
4105801;ESTACIONAMENTO;52;Armazenamento e atividades auxiliares aos transportes;52801;Armazenamento e serviços auxiliares aos transportes;;;;;;;;;;Armazenamento e serviços auxiliares aos transportes
4106001;GUARDA-VOLUMES;52;Armazenamento e atividades auxiliares aos transportes;52801;Armazenamento e serviços auxiliares aos transportes;;;;;;;;;;#N/D
4106101;CARREGADOR DE BAGAGEM;52;Armazenamento e atividades auxiliares aos transportes;52801;Armazenamento e serviços auxiliares aos transportes;;;;;;;;;;Serviços de alojamento em hotéis e similares
4106801;DESPACHO DE BAGAGEM;51;Transporte aéreo;51001;Transporte aéreo;;;;;;;;;;#N/D
