V9001,descricao.produto,tru.cod,tru.desc,produto.intermediacao,produto.intermediacao.internacional,produto.intermediacao.49002,produto.intermediacao.50001,produto.intermediacao.51001,produto.intermediacao.55001,produto.intermediacao.56001,produto.intermediacao.90801
4199901,AGREGADO,,,,,,,,,,
4105901,TAXA ALFANDEGARIA,,,,,,,,,,
4101501,COMBUSTIVEL DE VEICULO,19912,Gasoálcool,,,,,,,,
4101801,EXCURSAO (EXCETO ESCOLAR),78802,Outros serviços administrativos,,,,,,,,
4102701,"PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM, ALIMENTACAO E DIVERSAO)",78802,Outros serviços administrativos,1,,1,1,1,1,1,1
4102801,"PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM E ALIMENTACAO)",78802,Outros serviços administrativos,1,,1,1,1,1,1,
4102901,"PACOTE TURISTICO NACIONAL (TRANSPORTE, HOSPEDAGEM E DIVERSAO)",78802,Outros serviços administrativos,1,,1,1,1,1,,1
4103001,PACOTE TURISTICO NACIONAL (TRANSPORTE E HOSPEDAGEM),78802,Outros serviços administrativos,1,,1,1,1,1,,
4103101,"PACOTE TURISTICO NACIONAL (HOSPEDAGEM, ALIMENTACAO E DIVERSAO)",78802,Outros serviços administrativos,1,,,,,1,1,1
4103201,PACOTE TURISTICO NACIONAL (HOSPEDAGEM E ALIMENTACAO),78802,Outros serviços administrativos,1,,,,,1,1,
4103301,PACOTE TURISTICO NACIONAL (HOSPEDAGEM E DIVERSAO),78802,Outros serviços administrativos,1,,,,,1,,1
4103401,"PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM, ALIMENTACAO E DIVERSAO)",78802,Outros serviços administrativos,1,1,,,,,,
4103501,"PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM E ALIMENTACAO)",78802,Outros serviços administrativos,1,1,,,,,,
4103601,"PACOTE TURISTICO INTERNACIONAL (TRANSPORTE, HOSPEDAGEM E DIVERSAO)",78802,Outros serviços administrativos,1,1,,,,,,
4103701,PACOTE TURISTICO INTERNACIONAL (TRANSPORTE E HOSPEDAGEM),78802,Outros serviços administrativos,1,1,,,,,,
4103801,"PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM, ALIMENTACAO E DIVERSAO)",78802,Outros serviços administrativos,1,1,,,,,,
4103901,PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM E ALIMENTACAO),78802,Outros serviços administrativos,1,1,,,,,,
4104001,PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM E DIVERSAO),78802,Outros serviços administrativos,1,1,,,,,,
4104101,PACOTE TURISTICO NACIONAL,78802,Outros serviços administrativos,1,,1,1,1,1,1,1
4104201,PACOTE TURISTICO INTERNACIONAL,78802,Outros serviços administrativos,1,1,,,,,,
4104301,DESPESAS OPCIONAIS COM AGENCIAS DE VIAGEM,78802,Outros serviços administrativos,,,,,,,,
4106201,GUIA TURISTICO,78802,Outros serviços administrativos,,,,,,,,
4106701,PASSEIO TURISTICO,78802,Outros serviços administrativos,,,,,,,,
4101401,ALUGUEL DE VEICULO SEM CONDUTOR,77001,Aluguéis não-imob. e gestão de ativos de propriedade intelectual,,,,,,,,
4101601,PEDAGIO,52801,Armazenamento e serviços auxiliares aos transportes,,,,,,,,
4105801,ESTACIONAMENTO,52801,Armazenamento e serviços auxiliares aos transportes,,,,,,,,
4106001,GUARDA-VOLUMES,52801,Armazenamento e serviços auxiliares aos transportes,,,,,,,,
4106101,CARREGADOR DE BAGAGEM,52801,Armazenamento e serviços auxiliares aos transportes,,,,,,,,
4106801,DESPACHO DE BAGAGEM,51001,Transporte aéreo,,,,,,,,
4102101,TEATRO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4102301,SHOW (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4104501,CIRCO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105101,RODEIO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4104401,MUSEU (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4102201,PARQUE DE DIVERSAO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4102401,FUTEBOL DE CAMPO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4102501,VOLEIBOL (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4102601,AUTOMOBILISMO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4104601,"DANCETERIA, BOATE OU CASA NOTURNA",90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4104701,BASQUETEBOL (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4104801,TENIS (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4104901,GOLFE (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105001,HIPODROMO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105201,PESCA,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105301,BOLICHE,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105401,BINGO,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105501,FLIPERAMA E SIMILARES,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105601,PEDALINHOS,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4105701,COLONIA DE FERIAS,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4106301,LOCACAO DE BICICLETAS,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4106501,EXPOSICAO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4106601,PARQUES NATURAIS E BALNEARIOS,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4106901,EVENTOS RELIGIOSOS,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4107101,TRIATLO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4107201,HOQUEI (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
4102001,CINEMA (INGRESSO),59801,"Serviços cinematográficos, música, rádio e televisão",,,,,,,,
4100101,ALIMENTACAO,56001,Serviços  de alimentação,,,,,,,,
4100102,BEBIDAS,56001,Serviços  de alimentação,,,,,,,,
4100103,RESTAURANTES,56001,Serviços  de alimentação,,,,,,,,
4100104,BARES,56001,Serviços  de alimentação,,,,,,,,
4100105,LANCHONETES,56001,Serviços  de alimentação,,,,,,,,
4101701,"HOSPEDAGEM (HOTEL, POUSADA OU OUTRO TIPO DE ALOJAMENTO)",55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101702,HOTEL,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101703,POUSADA,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101704,MOTEL,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101705,PENSAO,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101706,DORMITORIO,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101707,ACAMPAMENTO,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101708,ALBERGUE,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101901,ALUGUEL DE IMOVEIS POR TEMPORADA,68001,Aluguel efetivo e serviços imobiliários,,,,,,,,
4101201,AVIAO (VIAGEM NACIONAL),51001,Transporte aéreo,,,,,,,,
4101301,AVIAO (VIAGEM INTERNACIONAL),51001,Transporte aéreo,,,,,,,,
4101101,"TRANSPORTE AQUAVIARIO (BARCA, BALSA, NAVIO, ETC.)",50001,Transporte aquaviário,,,,,,,,
4101102,BARCA,50001,Transporte aquaviário,,,,,,,,
4101103,BARCO,50001,Transporte aquaviário,,,,,,,,
4101104,BALSA,50001,Transporte aquaviário,,,,,,,,
4101105,NAVIO,50001,Transporte aquaviário,,,,,,,,
4101106,FERRY-BOAT,50001,Transporte aquaviário,,,,,,,,
4100901,METRO,49002,Transporte terrestre de passageiros,,,,,,,,
4101001,TREM,49002,Transporte terrestre de passageiros,,,,,,,,
4100201,ONIBUS URBANO,49002,Transporte terrestre de passageiros,,,,,,,,
4100301,ONIBUS INTERMUNICIPAL,49002,Transporte terrestre de passageiros,,,,,,,,
4100401,ONIBUS INTERESTADUAL,49002,Transporte terrestre de passageiros,,,,,,,,
4100501,ONIBUS INTERNACIONAL,49002,Transporte terrestre de passageiros,,,,,,,,
4100601,"TRANSPORTE ALTERNATIVO (VAN, KOMBI, LOTADA, ETC.)",49002,Transporte terrestre de passageiros,,,,,,,,
4100602,VAN,49002,Transporte terrestre de passageiros,,,,,,,,
4100603,KOMBI,49002,Transporte terrestre de passageiros,,,,,,,,
4100604,CAMINHAO,49002,Transporte terrestre de passageiros,,,,,,,,
4100605,PAU-DE-ARARA,49002,Transporte terrestre de passageiros,,,,,,,,
4100701,TAXI,49002,Transporte terrestre de passageiros,,,,,,,,
4100801,MOTO-TAXI,49002,Transporte terrestre de passageiros,,,,,,,,
4106401,UBER,49002,Transporte terrestre de passageiros,,,,,,,,
2301401,GASOLINA COMUM (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301501,GASOLINA ADITIVADA (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301502,GASOLINA ESPECIAL (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301601,ALCOOL (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301701,OLEO DIESEL (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301801,GAS VEICULAR,19912,Gasoálcool,,,,,,,,
5001301,ALUGUEL DE VEICULO SEM CONDUTOR,77001,Aluguéis não-imob. e gestão de ativos de propriedade intelectual,,,,,,,,
4501201,"ALUGUEL DE VEICULO PARA CASAMENTO, ANIVERSARIO, ETC.",77001,Aluguéis não-imob. e gestão de ativos de propriedade intelectual,,,,,,,,
2301901,ESTACIONAMENTO,52801,Armazenamento e serviços auxiliares aos transportes,,,,,,,,
